,country,social_support,freedom,corruption,generosity,gdp_per_cap,life_exp,happiness_score,grams_sugar_per_day
95,South Africa,63,85,102,89,12000,66.9,50,55.4
96,Albania,133,87,134,60,12700,78.5,49,14.5
97,Venezuela,49,145,110,139,9720,75.1,48,20.3
98,Cambodia,109,2,94,61,4080,70.4,47,97.4
99,Senegal,106,121,88,130,3460,68.6,45,79.8
100,Somalia,145,14,16,96,631,59.2,44,27.2
101,Namibia,70,82,98,142,9700,67.2,43,93.1
102,Niger,140,111,51,135,954,63.2,42,72.2
103,Burkina Faso,116,127,47,125,1810,62.5,41,43.7
104,Armenia,117,123,93,129,9730,75.9,40,99.2
105,Iran,134,117,44,28,16100,77.8,39,30.7
106,Guinea,136,109,70,94,2420,61.6,38,95.5
107,Georgia,147,104,28,153,10700,73.2,37,22.1
108,Gambia,125,89,26,64,1570,66.4,36,52.8
109,Kenya,123,72,105,26,3160,66.7,35,28.1
110,Mauritania,99,151,67,148,3890,71,34,16.5
111,Mozambique,122,46,40,121,1170,59.9,33,73.4
112,Tunisia,121,143,101,144,11100,78.7,32,46.2
113,Bangladesh,126,27,36,107,4140,73.7,31,29.1
114,Iraq,124,130,66,73,15700,77.1,30,126
115,Mali,112,110,107,138,2100,62.9,28,18.1
116,Sierra Leone,135,116,112,79,1460,61.3,27,95.3
117,Sri Lanka,80,55,111,35,12100,77.8,26,32.4
118,Myanmar,96,29,24,1,6270,69.1,25,78
119,Chad,141,142,80,106,1740,60.6,24,28.1
120,Ukraine,56,141,143,66,8480,70.8,23,33.3
121,Ethiopia,119,106,53,99,1900,69.1,22,64.2
122,Swaziland,103,113,41,145,9560,61.8,21,15.5
123,Uganda,114,99,95,74,1870,66.6,20,20.3
124,Egypt,118,129,89,132,11400,71,19,45.5
125,Zambia,115,73,69,53,3700,64,18,80.6
126,Togo,149,120,72,131,1610,65,17,45.8
127,India,142,41,73,65,7230,69.5,16,85
128,Liberia,127,94,126,110,1140,65.2,15,22.6
129,Comoros,143,148,81,62,2480,69.1,14,77.9
130,Madagascar,128,146,116,136,1490,64.2,13,14.1
131,Lesotho,98,97,59,151,2920,56.1,12,28
132,Burundi,152,135,23,149,644,62.3,11,24.5
133,Zimbabwe,110,96,63,141,2390,62,10,22.4
134,Haiti,146,152,48,20,1640,65.7,9,
135,Botswana,105,60,54,150,16800,69.8,8,
136,Syria,154,153,38,69,2900,71.5,7,
137,Malawi,150,65,64,109,1180,64.2,6,
138,Yemen,100,147,83,155,2340,68.1,5,
139,Rwanda,144,21,2,90,2110,69.1,4,
140,Tanzania,131,78,34,49,2980,67.7,3,
141,Afghanistan,151,155,136,137,1760,64.1,2,
142,Central African Republic,155,133,122,113,794,52.9,1,
143,South Sudan,148,154,61,85,1860,59.7,0,
